500-20 ,"MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR, IMPOSTA A PESSOA JURIDICA "
501-00 ,DIRIGIR VEICULO SEM POSSUIR CNH OU PERMISSAO PARA DIRIGIR 
502-91 ,DIRIGIR VEICULO COM CNH CASSADA 
502-92 ,DIRIGIR VEICULO COM PERMISSAO PARA DIRIGIR CASSADA 
502-93 ,DIRIGIR VEICULO COM CNH OU PPD COM SUSPENSAO DO DIREITO DE DIRIGIR 
503-71 ,DIRIGIR VEICULO COM CNH DE CATEGORIA DIFERENTE DA DO VEICULO 
503-72 ,DIRIGIR VEICULO COM PPD DE CATEGORIA DIFERENTE DA DO VEICULO 
504-50 ,DIRIGIR VEICULO COM VALIDADE DA CNH OU PPD VENCIDA HA MAIS DE 30 DIAS 
505-31 ,DIRIGIR VEICULO SEM USAR LENTES CORRETORAS DE VISAO 
505-32 ,DIRIGIR VEICULO SEM USAR APARELHO AUXILIAR DE AUDICAO 
505-33 ,DIRIGIR VEICULO SEM USAR APARELHO AUXILIAR DE PROTESE FISICA 
505-34 ,DIRIGIR VEICULO S/ ADAPTACOES IMPOSTAS NA CONCESSAO/RENOVACAO LICENCA CONDUZIR 
506-10 ,ENTREGAR VEICULO A PESSOA SEM CNH OU PERMISSAO PARA DIRIGIR 
507-01 ,ENTREGAR VEICULO A PESSOA COM CNH CASSADA 
507-02 ,ENTREGAR VEICULO A PESSOA COM PERMISSAO PARA DIRIGIR CASSADA 
507-03 ,ENTREGAR VEICULO A PESSOA COM CNH OU PPD COM SUSPENSAO DO DIREITO DE DIRIGIR 
508-81 ,ENTREGAR VEICULO A PESSOA COM CNH DE CATEGORIA DIFERENTE DA DO VEICULO 
508-82 ,ENTREGAR VEICULO A PESSOA COM PPD DE CATEGORIA DIFERENTE DA DO VEICULO 
509-60 ,ENTREGAR VEICULO A PESSOA COM CNH VENCIDA HA MAIS DE 30 DIAS 
510-01 ,ENTREGAR O VEICULO A PESSOA SEM USAR LENTES CORRETORAS DE VISAO 
510-02 ,ENTREGAR O VEICULO A PESSOA SEM USAR APARELHO AUXILIAR DE AUDICAO 
510-03 ,ENTREGAR O VEICULO A PESSOA SEM APARELHO DE PROTESE FISICA 
510-04 ,ENTREGAR VEIC PESSOA S/ ADAPTACOES IMPOSTAS CONCESSAO/RENOVACAO LICENCA CONDUZIR 
511-80 ,PERMITIR POSSE/CONDUCAO DO VEICULO A PESSOA SEM CNH OU PPD 
512-61 ,PERMITIR POSSE/CONDUCAO DO VEICULO A PESSOA COM CNH CASSADA 
512-62 ,PERMITIR POSSE/CONDUCAO DO VEICULO A PESSOA COM PPD CASSADA 
512-63 ,PERMITIR POSSE/CONDUCAO VEIC PESSOA COM CNH/PPD C/ SUSPENSAO DIREITO DE DIRIGIR 
513-41 ,PERMITIR POSSE/CONDUCAO VEIC A PESSOA COM CNH CATEGORIA DIFERENTE DA DO VEICULO 
513-42 ,PERMITIR POSSE/CONDUCAO VEIC A PESSOA COM PPD CATEGORIA DIFERENTE DA DO VEICULO 
