500-20 ,ART 257 DO CTB ,MULTA POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR IMPOSTA A PESSOA JURIDICA 
501-00 ,ART 162 I DO CTB ,DIRIGIR VEICULO SEM POSSUIR CNH OU PERMISSAO PARA DIRIGIR 
502-91 ,ART 162 II DO CTB ,DIRIGIR VEICULO COM CNH CASSADA 
502-92 ,ART 162 II DO CTB ,DIRIGIR VEICULO COM PERMISSAO PARA DIRIGIR CASSADA 
502-93 ,ART 162 II DO CTB ,DIRIGIR VEICULO COM CNH OU PPD COM SUSPENSAO DO DIREITO DE DIRIGIR 
503-71 ,ART 162 III DO CTB ,DIRIGIR VEICULO COM CNH DE CATEGORIA DIFERENTE DA DO VEICULO 
503-72 ,ART 162 III DO CTB ,DIRIGIR VEICULO COM PPD DE CATEGORIA DIFERENTE DA DO VEICULO 
504-50 ,ART 162 V DO CTB ,DIRIGIR VEICULO COM VALIDADE DA CNH OU PPD VENCIDA HA MAIS DE 30 DIAS 
505-31 ,ART 162 VI DO CTB ,DIRIGIR VEICULO SEM USAR LENTES CORRETORAS DE VISAO 
505-32 ,ART 162 VI DO CTB ,DIRIGIR VEICULO SEM USAR APARELHO AUXILIAR DE AUDICAO 
505-33 ,ART 162 VI DO CTB ,DIRIGIR VEICULO SEM USAR APARELHO AUXILIAR DE PROTESE FISICA 
505-34 ,ART 162 VI DO CTB ,DIRIGIR VEICULO S/ ADAPTACOES IMPOSTAS NA CONCESSAO/RENOVACAO LICENCA CONDUZIR 
506-10 ,ART 163 DO CTB ,ENTREGAR VEICULO A PESSOA SEM CNH OU PERMISSAO PARA DIRIGIR 
507-01 ,ART 163 DO CTB ,ENTREGAR VEICULO A PESSOA COM CNH CASSADA 
507-02 ,ART 163 DO CTB ,ENTREGAR VEICULO A PESSOA COM PERMISSAO PARA DIRIGIR CASSADA 
507-03 ,ART 163 DO CTB ,ENTREGAR VEICULO A PESSOA COM CNH OU PPD COM SUSPENSAO DO DIREITO DE DIRIGIR 
508-81 ,ART 163 DO CTB ,ENTREGAR VEICULO A PESSOA COM CNH DE CATEGORIA DIFERENTE DA DO VEICULO 
508-82 ,ART 163 DO CTB ,ENTREGAR VEICULO A PESSOA COM PPD DE CATEGORIA DIFERENTE DA DO VEICULO 
509-60 ,ART 163 DO CTB ,ENTREGAR VEICULO A PESSOA COM CNH VENCIDA HA MAIS DE 30 DIAS 
510-01 ,ART 163 DO CTB ,ENTREGAR O VEICULO A PESSOA SEM USAR LENTES CORRETORAS DE VISAO 
510-02 ,ART 163 DO CTB ,ENTREGAR O VEICULO A PESSOA SEM USAR APARELHO AUXILIAR DE AUDICAO 
510-03 ,ART 163 DO CTB ,ENTREGAR O VEICULO A PESSOA SEM APARELHO DE PROTESE FISICA 
